scope,kpi,status,missing_rows,missing_ratio
origin,save_pct,missing_values,12320,0.49814006145883877
origin,psxg_delta,missing_values,361,0.014596474203461104
origin,goals_conceded,missing_column,24732,1.0
origin,shots_on_target_faced,missing_column,24732,1.0
origin,catches,missing_values,2138,0.08644670871745108
origin,parries,missing_column,24732,1.0
origin,cross_claims,missing_column,24732,1.0
origin,short_pass_acc,missing_column,24732,1.0
origin,medium_pass_acc,missing_column,24732,1.0
origin,long_pass_acc,missing_values,2526,0.10213488597768074
origin,sweeper_actions,missing_values,361,0.014596474203461104
origin,clearances_outside_box,missing_column,24732,1.0
origin,interceptions,missing_column,24732,1.0
origin,errors_leading_to_shot,missing_column,24732,1.0
origin,errors_leading_to_goal,missing_column,24732,1.0
origin,clean_sheet_rate,missing_column,24732,1.0
current,save_pct,missing_values,1837,0.47247942386831276
current,psxg_delta,missing_values,0,0.0
current,goals_conceded,missing_column,3888,1.0
current,shots_on_target_faced,missing_column,3888,1.0
current,catches,missing_values,63,0.016203703703703703
current,parries,missing_column,3888,1.0
current,cross_claims,missing_column,3888,1.0
current,short_pass_acc,missing_column,3888,1.0
current,medium_pass_acc,missing_column,3888,1.0
current,long_pass_acc,missing_values,128,0.03292181069958848
current,sweeper_actions,missing_values,0,0.0
current,clearances_outside_box,missing_column,3888,1.0
current,interceptions,missing_column,3888,1.0
current,errors_leading_to_shot,missing_column,3888,1.0
current,errors_leading_to_goal,missing_column,3888,1.0
current,clean_sheet_rate,missing_column,3888,1.0
