player_id,player_name,young_age,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score,current_success_label,matches_count
1343.0,Marius Müller,32.0,50.618483343805,52.05214980260434,46.71950877803234,53.296794247971604,61.24892877012243,44.95887057322816,PLAYS,16
1668.0,Jean Butez,30.0,50.77469879346565,55.81718097111096,50.82773405728266,58.35957802315499,51.093261271682856,43.592453318279176,PLAYS,88
2281.0,Hidde Jurjus,32.0,48.53062899835782,47.090276920827684,53.46750437751949,57.90990420427275,46.07347319147256,43.20882783813978,PLAYS,57
3360.0,Kamil Grabara,27.0,47.95326297186434,49.86294260858529,47.83935939837255,50.42926376959961,48.9108513203225,43.21550450123318,PLAYS,83
4579.0,Hans Christian Bernat,25.0,52.040407699833295,45.34001704045558,46.115011965232675,47.65636037167391,51.025171333703526,45.56919851478268,PLAYS,35
4611.0,Rihards Matrevics,26.0,46.52031088956172,45.57918437950524,44.09221039704963,47.00811887839371,48.80110760297313,43.29145478898042,PLAYS,18
5937.0,Brent Gabriël,27.0,49.72605345178301,57.19437178251265,50.296485018336696,52.109707959126325,53.47851953621941,44.60148909775798,PLAYS,29
6446.0,Arijanet Murić,27.0,45.50733022350914,,,,55.10294628100131,32.285300141119876,PLAYS,14
8579.0,Marco Bizot,35.0,55.260289444014695,,,,45.52157336777201,40.12203085510723,PLAYS,43
13289.0,Patrik Gunnarsson,25.0,47.79913382597286,55.77736796942522,52.33638033197686,61.028847129485996,45.70604557326881,43.17785902927119,PLAYS,51
17234.0,Hervé Koffi,29.0,52.696353931360704,54.15274124872919,47.40748326499958,49.3595509736496,52.37970963047071,43.2914747081194,PLAYS,76
23064.0,Patrick Drewes,33.0,56.194363581176795,49.24218205633876,54.797733736052706,53.51661865971393,55.07915620368409,44.399117691134336,PLAYS,24
27683.0,Zion Suzuki,23.0,55.80133329592622,75.58553820560797,57.60521072783205,40.27026262777226,51.3145278508685,37.627666852239045,PLAYS,8
31713.0,Fabian de Keijzer,25.0,50.10603685143083,47.51608865431524,40.740750040068384,45.85694801697373,62.03973063982812,46.390634748710504,PLAYS,11
43239.0,Jari De Busser,26.0,52.08468604486447,52.846583284940664,51.03032658145914,58.927199630940535,50.32700647550509,44.67479529162929,PLAYS,27
47231.0,Filip Stanković,24.0,50.92804282893711,46.188046326031525,46.09742533610196,53.52408755729257,60.89470403800201,44.783897049085944,PLAYS,33
52669.0,Andrija Katic,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,43.16268065050644,PLAYS,27
53364.0,Taishi Brandon Nozawa,23.0,48.16414606588572,48.96902843973658,48.98613572643285,48.471602523229684,48.16491925958806,44.35952270254134,PLAYS,51
53929.0,Matous Trmal,27.0,47.260051870133246,49.682929433036996,42.75705793864761,50.899266064812615,55.028738995062554,43.85371094262805,PLAYS,64
54674.0,Dominik Holec,31.0,52.287744503931016,48.94962187724976,55.362422372478065,51.161652597834475,58.615286413822304,44.90382246955842,PLAYS,60
60809.0,Andrea Hoxha,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,45.09052388771825,PLAYS,12
63983.0,Luca Petzold,24.0,43.887705690305424,46.27231382359704,54.86206870171563,49.981837850534795,47.909437757899326,43.73707448075528,PLAYS,16
102767.0,Nacho Miras,28.0,48.7938091651079,47.71209134733794,49.31243331379464,47.810417360875455,43.66765289912867,43.72231283715715,PLAYS,39
106592.0,Antonín Kinský,22.0,51.88404653057087,53.3514087554018,47.5857205047183,49.69453672187339,56.317255831060976,44.61048816238198,PLAYS,32
116723.0,Pavlo Isenko,22.0,49.833201910802565,49.90900482212886,47.524404914199245,48.59824951669898,51.62453686442999,43.914272751233504,PLAYS,58
117339.0,Maximilian Weisbäcker,24.0,46.842607074229676,67.39076021898605,50.77472752504936,46.82245372648347,47.71193366016076,42.344985075272,PLAYS,12
126428.0,Justin Heekeren,25.0,49.05727410790486,57.9558222326541,53.42344422939864,52.72992412709227,59.65002782817045,43.13010612687076,PLAYS,14
133147.0,Gasper Tratnik,26.0,50.43560985582375,49.29855708187071,47.24263753649173,50.039028123341225,49.434155990641024,45.125199792941864,PLAYS,35
146112.0,Georgiy Yermakov,23.0,48.90315283987026,48.29634971938516,50.747194502228155,48.64026799712225,54.65402244572019,43.37452432527026,PLAYS,37
